TID	WORD2	LEN2
Integer	String	Integer
10767	overland	8
14344	stopover	8
24630	vegetarians	11
333	Terrence	8
24910	balling	7
2284	boyfriend	9
3490	enshrines	9
21406	authoritarian's	15
22782	Hipparchus	10
7430	historians	10
20224	withdrawal	10
4635	mainlined	9
16654	dices	5
12693	Singapore's	11
14858	Jean's	6
14291	woodbine's	10
23189	demount	7
10926	happenings	10
20861	yawn	4
20723	troll	5
21658	Vietnam	7
1106	electronically	14
2966	consecrations	13
15769	uncut	5
8470	progressively	13
682	boundless	9
14591	bone's	6
3169	chimed	6
14803	stabilizing	11
12134	farther	7
11749	Capricorns	10
396	offensiveness	13
11157	outbuildings	12
8771	futuristic	10
9215	scanting	8
1994	coring	6
4629	radially	8
21007	bellied	7
23178	vindictively	12
12762	elucidated	10
21297	lowercase's	11
20141	subjunctive	11
18036	guttered	8
15396	overhears	9
10958	triumphs	8
7448	attainment's	12
19846	upholsterer's	13
1904	lauded	6
18140	ATP's	5
8870	inventor	8
11078	boogie's	8
20719	mistiness	9
1806	replayed	8
23958	steed	5
22174	conscript	9
7963	Hanoi	5
14892	cardiologists	13
5076	recompense's	12
8565	fanciness's	11
21397	millet	6
11793	foreshadowing	13
1185	condors	7
15954	jolt	4
3555	sirloins	8
20251	lissom	6
11115	unpleasantly	12
17520	Felix's	7
20401	constraints	11
15622	pigeonhole's	12
24477	inquiry	7
16347	r	1
3360	mantis's	8
19383	boondocks's	11
7053	percolators	11
6537	prehistory's	12
16635	physicians	10
23626	ageing	6
13925	lathing	7
9549	disruptions	11
8686	bra	3
23256	duet	4
23844	pictured	8
15533	cataract	8
6249	dumps	5
19745	untying	7
21808	undaunted	9
8189	portioning	10
10876	Kwanzaas	8
15858	acceded	7
17510	aggrandizement	14
10084	Hispaniola	10
20076	cohesiveness's	14
10002	tatter	6
2797	redskins	8
15668	transfusions	12
13767	Bulfinch	8
16428	discrepancy's	13
6845	propulsion	10
22805	navigational	12
9451	lox	3
24190	Dwight's	8
17954	depravity's	11
3104	Grass	5
19840	officials	9
18244	crooked	7
8374	Staples's	9
12617	kiddoes	7
17975	culminating	11
22346	disk	4
4866	savant	6
10339	pettifogger	11
2843	certificated	12
22289	Maryanne	8
15766	unhurt	6
20997	payment's	9
18695	joiner's	8
19200	enumeration's	13
775	devotion's	10
4070	shutter's	9
9841	firm's	6
6637	lunge's	7
19788	speedier	8
257	reapplying	10
11172	summation	9
13347	cauliflowers	12
12652	overdue	7
17785	clinks	6
19039	beater's	8
21395	rattans	7
16907	contrivance's	13
16723	sexiest	7
1844	grandstanded	12
24397	Hatsheput	9
4653	affinity	8
13014	residing	8
21996	shampoo	7
18260	wainscot	8
15402	Cheyenne	8
9199	Moho	4
8069	Eddy's	6
14844	Yellowknife	11
6406	graters	7
9195	drifters	8
201	abutment's	10
197	feminist's	10
8468	orthography	11
1569	worsted's	9
8245	scratchiness's	14
2141	ruble	5
11171	scorecard's	11
5047	repay	5
21062	now	3
19252	originality	11
21227	bearish	7
18370	Adela	5
15415	undeniable	10
23062	interviewee's	13
11	Congo's	7
20876	airmails	8
3535	manhunt	7
13814	Goiania	7
17115	plucked	7
8476	horology	8
8321	segued	6
23389	have	4
2859	ringleader	10
20608	deviance	8
17786	township's	10
6568	battled	7
18259	distinctive	11
16669	edifice's	9
6010	syphilis's	10
19430	proscenia	9
4878	buzzer's	8
21161	knitters	8
24796	attitudinized	13
10129	renegotiating	13
20775	homophone	9
2932	strutting	9
14697	caravan's	9
5150	civilizing	10
21709	academy's	9
10974	thoroughfare's	14
20416	creep	5
14751	exploded	8
22260	Cory's	6
5905	brokenhearted	13
21372	labeling	8
20445	tics	4
15786	inordinately	12
9272	hibernation	11
16611	plumbs	6
9364	parallax	8
1524	Khoisan's	9
21400	stylistically	13
7212	polyunsaturated	15
11704	klutz's	7
5835	kindergarteners	15
13778	repressions	11
4467	volume's	8
16237	flimsily	8
16199	contrails	9
9512	cappuccino	10
14503	disinterest's	13
12911	paralytic's	11
9480	Orville	7
1974	Glenn's	7
721	bereft	6
10104	technicalities	14
17218	lift's	6
14590	avidly	6
6710	naphthalene's	13
19225	Mohorovicic	11
19513	senna	5
24337	Upton's	7
2753	miniaturists	12
12139	viability	9
14856	cloaks	6
10942	zebra	5
14045	hectares	8
1330	play's	6
21158	cooler	6
20350	leakier	7
881	actress's	9
2283	cowering	8
16288	wealthiness	11
21313	lymphoma	8
20677	Reilly	6
1640	loaders	7
23026	reconsidering	13
19277	gassing	7
20017	insertion	9
23883	hags	4
5284	phases	6
3297	keypunches	10
12243	wagging	7
12040	pugnaciously	12
818	rewards	7
19396	profane	7
11334	rainiest	8
2260	Gilberto	8
17071	fruition	8
2786	Evan's	6
3739	cremate	7
7298	fail	4
2668	molder's	8
14215	disinters	9
1024	nationalized	12
15855	phylum	6
5067	rearm	5
18290	eager	5
23547	Faustino's	10
6066	enumerable	10
22952	freebooter	10
14357	Elba	4
1795	mindfulness	11
11581	suppository	11
6846	Nationwide's	12
247	discerned	9
16964	Bohemian's	10
6279	silo's	6
11387	spherical	9
