TID	WORD1	LEN1
Integer	String	Integer
0	motive's	8
1	idiosyncrasies	14
2	crabby	6
3	Adelaide	8
4	chumminess	10
5	packaging's	11
6	violas	6
7	Jackson's	9
8	Sudoku's	8
9	mesquites	9
10	Yunnan's	8
11	discourages	11
12	violet's	8
13	plunder's	9
14	reprocessing	12
15	liquored	8
16	habitable	9
17	dissembles	10
18	abatement	9
19	bedeviling	10
20	clerk's	7
21	abetted	7
22	adjudicate	10
23	effecting	9
24	imprecise	9
25	lingual	7
26	tenderhearted	13
27	gravitation	11
28	Dadaism	7
29	benignly	8
30	outpourings	11
31	investors	9
32	whens	5
33	Blondel	7
34	pamphlets	9
35	vision	6
36	chicle	6
37	whir	4
38	Vilma	5
39	shearer	7
40	firstly	7
41	Ruben	5
42	alcohol's	9
43	raincoats	9
44	Snapple	7
45	dentifrices	11
46	Ola	3
47	weakfishes	10
48	TelePrompter	12
49	Barents's	9
50	adults	6
51	farmer's	8
52	frontrunners	12
53	niggardliness	13
54	Oregon	6
55	jiujitsu's	10
56	country	7
57	rightfulness's	14
58	fence's	7
59	mutilations	11
60	backbiter	9
61	drudge	6
62	Sahel	5
63	clotting	8
64	Manilas	7
65	requests	8
66	harpooned	9
67	sever	5
68	dispatch	8
69	pantheist	9
70	moistening	10
71	genetic	7
72	invalidation's	14
73	clappers	8
74	carburetor's	12
75	gang's	6
76	windjammer's	12
77	voracious	9
78	classy	6
79	scattering	10
80	restaurateur	12
81	Maytag's	8
82	strobe	6
83	wiles	5
84	Lovecraft's	11
85	raking	6
86	frontiersman	12
87	limpidly	8
88	Benito	6
89	knowings	8
90	piously	7
91	spending	8
92	Timurid	7
93	halfback's	10
94	blintzes	8
95	dogs	4
96	reimbursing	11
97	grammarians	11
98	gunshots	8
99	Kublai	6
100	peroxide's	10
101	asses	5
102	stiffs	6
103	fetlock's	9
104	codicil's	9
105	preliminary	11
106	interchanging	13
107	antiquaries	11
108	conglomerate	12
109	sockets	7
110	inaugurated	11
111	rapscallion's	13
112	morsel's	8
113	middlebrows	11
114	eons	4
115	mythologists	12
116	exalted	7
117	closefisted	11
118	trumpeters	10
119	shallowness's	13
120	styling	7
121	loam	4
122	Loretta	7
123	Concepción	10
124	Holley's	8
125	hydrotherapy	12
126	diluting	8
127	Gehenna's	9
128	aggressively	12
129	Velázquez	9
130	raise's	7
131	slurping	8
132	rhapsodize	10
133	Ganymede	8
134	troll	5
135	Leander	7
136	jaggedly	8
137	musicologists	13
138	charged	7
139	cosmologies	11
140	fidelity	8
141	deprived	8
142	exemplifies	11
143	mashes	6
144	speeches	8
145	Copenhagen's	12
146	cork's	6
147	effervesced	11
148	scrapbook	9
149	roughneck's	11
150	cunning's	9
151	swopping	8
152	audaciousness	13
153	Tamworth	8
154	Milosevic	9
155	Cyprus's	8
156	blunted	7
157	staircases	10
158	conciliator's	13
159	Thutmose's	10
160	filthier	8
161	chaos	5
162	clatter	7
163	thousand	8
164	Hodgkin	7
165	merriness	9
166	Peking's	8
167	pecans	6
168	habituation's	13
169	cutup	5
170	martini's	9
171	padre	5
172	lawmaker's	10
173	funk	4
174	celestas	8
175	precarious	10
176	rune	4
177	fain	4
178	relativity's	12
179	assimilate	10
180	potsherd's	10
181	vandalizing	11
182	CST's	5
183	Cantrell's	10
184	terrains	8
185	soar's	6
186	Cary	4
187	hula	4
188	practitioners	13
189	swordplay's	11
190	choreographing	14
191	codded	6
192	defect	6
193	arenas	6
194	consumerism	11
195	inductance	10
196	foreword's	10
197	teen	4
198	fanatical	9
199	Crockett	8
200	pickiest	8
201	worthiest	9
202	bloodthirsty	12
203	rethinks	8
204	numbskull	9
205	Pfizer	6
206	renegotiates	12
207	multitasking	12
208	Coltrane	8
209	watcher	7
210	repetitious	11
211	saltshaker's	12
212	Goa	3
213	mopes	5
214	tiddlywinks	11
215	sublease's	10
216	hunching	8
217	unsnapping	10
218	philanthropist	14
219	galleon	7
220	Cologne's	9
221	hammerheads	11
222	Cooke's	7
223	audibility's	12
224	regardless	10
225	sarcoma	7
226	edify	5
227	fiver	5
228	escapade	8
229	lunacies	8
230	edginess's	10
231	tidbit	6
232	rending	7
233	spareribs's	11
234	priggish	8
235	pail's	6
236	oyster's	8
237	rhapsodizing	12
238	Kathrine	8
239	cartons	7
240	glob's	6
241	amaranth's	10
242	preeminence's	13
243	him	3
244	terrarium's	11
245	agate	5
246	animus's	8
247	overjoys	8
248	croak's	7
249	sinker's	8
250	prudence	8
251	impels	6
252	repentant	9
253	foretaste's	11
254	recipe	6
255	jumpy	5
256	mishandled	10
257	blankness	9
258	gibed	5
259	playfulness's	13
260	pawnbrokers	11
261	collegians	10
262	oh	2
263	corncob's	9
264	Marine	6
265	meditatively	12
266	Formosa's	9
267	starboard's	11
268	augmented	9
269	tidewater	9
270	transient's	11
271	wherefore's	11
272	turf	4
273	misappropriating	16
274	Creek	5
275	impatience's	12
276	entanglement's	14
277	jurisdiction	12
278	bo'suns	7
279	oxidation	9
280	conquest's	10
281	Apple's	7
282	Yerevan	7
283	dyspeptics	10
284	causes	6
285	environmentalism's	18
286	doggones	8
287	dignity	7
288	mestizo's	9
289	kennelled	9
290	trigonometry	12
291	tubby	5
292	ritualism's	11
293	regresses	9
294	keratin's	9
295	others	6
296	prescriptive	12
297	gnats	5
298	Vang	4
299	sincerity's	11
300	brogue's	8
301	Iowas	5
302	paddocks	8
303	sprout's	8
304	disconcert	10
305	salutations	11
306	interplay's	11
307	pollen	6
308	raving's	8
309	imam's	6
310	outlasting	10
311	Clark	5
312	catapulting	11
313	Frontenac's	11
314	Bangladeshi	11
315	boas	4
316	métiers	7
317	mismatch's	10
318	tarpons	7
319	distinction's	13
320	pueblo	6
321	Manuela	7
322	Lyndon's	8
323	graphing	8
324	deducible	9
325	Ukrainian's	11
326	psychoses	9
327	Firestone's	11
328	fetich's	8
329	Malone	6
330	flyby's	7
331	richness	8
332	threading	9
333	patters	7
334	undesirables	12
335	pailful	7
336	ordnance's	10
337	freeze's	8
338	auctioneer	10
339	relaxation	10
340	rs	2
341	Lizzy's	7
342	smutty	6
343	dishonesty	10
344	refer	5
345	billed	6
346	boozing	7
347	catheters	9
348	artery	6
349	loyally	7
350	dive's	6
351	indulgent	9
352	mush	4
353	awoke	5
354	African	7
355	kayak's	7
356	macadam's	9
357	diffraction's	13
358	addressable	11
359	Stephanie's	11
360	legumes	7
361	statuettes	10
362	toothpick	9
363	Plymouth	8
364	large's	7
365	printings	9
366	cyclical	8
367	Shanghai	8
368	affability's	12
369	implantation's	14
370	commons	7
371	corroborating	13
372	thoroughness's	14
373	bricklaying	11
374	centering	9
375	rattlesnake	11
376	immunizes	9
377	jerseys	7
378	plainclothes	12
379	banns's	7
380	pagers	6
381	joyfulness's	12
382	aftermaths	10
383	jitney	6
384	virulently	10
385	telex	5
386	mountaineer	11
387	dissemination's	15
388	Marissa	7
389	horseflies	10
390	plains	6
391	enchilada's	11
392	centenary's	11
393	butters	7
394	serf	4
395	easiness	8
396	surrounding's	13
397	ace's	5
398	efficient	9
399	stratosphere's	14
400	breathtakingly	14
401	achievement's	13
402	ant	3
403	vitalized	9
404	Ramiro's	8
405	winnows	7
406	Hogan	5
407	teeter	6
408	curving	7
409	estuaries	9
410	vivider	7
411	trillionths	11
412	Chiantis	8
413	cheekiness's	12
414	inconspicuousness's	19
415	smut	4
416	lengthens	9
417	sheikdoms	9
418	Fiat's	6
419	tribunes	8
420	recursively	11
421	embellish	9
422	confederating	13
423	shorten	7
424	clangor	7
425	seashell	8
426	polyhedron	10
427	equivalence	11
428	atmosphere	10
429	antipasto	9
430	enthuse	7
431	fix	3
432	splinters	9
433	halogen's	9
434	verdigrising	12
435	hullabaloos	11
436	scrawling	9
437	caliphs	7
438	morgue's	8
439	amuse	5
440	Simpsons	8
441	modulus	7
442	rotundity's	11
443	nihilistic	10
444	entertaining's	14
445	hoes	4
446	nestling's	10
447	closeted	8
448	impinge	7
449	roadways	8
450	edibles	7
451	explicating	11
452	expect	6
453	Ginger's	8
454	acclimates	10
455	hypertext's	11
456	waterfowls	10
457	halogen's	9
458	fences	6
459	profanation	11
460	unrealized	10
461	blow	4
462	buglers	7
463	Holley's	8
464	Kewpie	6
465	terminological	14
466	Kuznetsk's	10
467	retaliating	11
468	extremity's	11
469	poseur's	8
470	Sisyphean	9
471	noncooperation	14
472	intransitive's	14
473	eddied	6
474	Mayra's	7
475	ere	3
476	tilde	5
477	withdrawal	10
478	roseate	7
479	schlepped	9
480	circumstantial	14
481	destroyer's	11
482	permeability's	14
483	Semitic's	9
484	inscribing	10
485	Cebuano	7
486	militant's	10
487	sinkable	8
488	preregistration	15
489	buggies	7
490	commerce's	10
491	fruitfully	10
492	Carolinian's	12
493	senna's	7
494	Hogan	5
495	groups	6
496	buttresses	10
497	Rodgers	7
498	cottoned	8
499	Scorpius's	10
500	Rwandans	8
501	remnants	8
502	expeditious	11
503	hassocks	8
504	sternness	9
505	behind	6
506	garishness's	12
507	chandler	8
508	courteousness	13
509	polytechnics	12
510	pasteurize	10
511	jeep	4
512	hypochondriac	13
513	direction's	11
514	voyeuristic	11
515	stage	5
516	remember	8
517	tags	4
518	Eva's	5
519	interruption	12
520	Laurent	7
521	intermediate	12
522	defter	6
523	guidelines	10
524	compartmentalize	16
525	workplace's	11
526	layered	7
527	starlet	7
528	bringing	8
529	inconceivably	13
530	traitor	7
531	plastered	9
532	unlocks	7
533	overthrow's	11
534	peacefulness's	14
535	mesh's	6
536	cell	4
537	Caiaphas	8
538	Francoise's	11
539	alcoves	7
540	verifiable	10
541	pistol	6
542	Billings	8
543	settlement's	12
544	West's	6
545	Manning	7
546	fluster's	9
547	banjoist	8
548	mosques	7
549	Lanai	5
550	Hans	4
551	faggot's	8
552	neutrality	10
553	peeled	6
554	configuration's	15
555	wizes	5
556	kudzus	6
557	thrumming	9
558	straying	8
559	antebellum	10
560	tonsillectomies	15
561	slayings	8
562	wayfaring	9
563	possibilities	13
564	queering	8
565	stereo's	8
566	Xhosa	5
567	flashest	8
568	jeremiads	9
569	Jimmy's	7
570	hobble	6
571	Bulgarians	10
572	transsexuals	12
573	mariners	8
574	Fulani	6
575	oft	3
576	pipits	6
577	Chernomyrdin's	14
578	insureds	8
579	Giovanni's	10
580	belted	6
581	beheading	9
582	boisterousness's	16
583	listed	6
584	bloodstream	11
585	contortionists	14
586	omega's	7
587	Karol's	7
588	secluding	9
589	voyage	6
590	Descartes	9
591	providentially	14
592	outlook's	9
593	blinds	6
594	swindler's	10
595	Abner's	7
596	loathing	8
597	mangling	8
598	mispronunciation's	18
599	scrubs	6
600	sweetish	8
601	breakthrough	12
602	paralegal's	11
603	ceremony's	10
604	miming	6
605	sousing	7
606	champion	8
607	blunter	7
608	Stevens	7
609	chagrined	9
610	adjuster's	10
611	query's	7
612	enforcer's	10
613	drawl's	7
614	vociferous	10
615	occlusions	10
616	outsets	7
617	needling	8
618	spats	5
619	viscountess	11
620	imperiousness's	15
621	dispute	7
622	Shrek	5
623	resounding	10
624	presupposing	12
625	carver	6
626	ingeniously	11
627	liar's	6
628	hairbrush	9
629	ameliorated	11
630	pasties	7
631	copycatting	11
632	unmanlier	9
633	repairman's	11
634	expressing	10
635	Penderecki's	12
636	another	7
637	drills	6
638	encirclement's	14
639	washerwoman	11
640	cookouts	8
641	drape	5
642	Asgard	6
643	aroused	7
644	Urdu	4
645	Wiesenthal's	12
646	impregnates	11
647	bony	4
648	unwavering	10
649	Packard's	9
650	Ra's	4
651	elevate	7
652	poppy	5
653	phoneticians	12
654	esthetic	8
655	Superfund	9
656	video's	7
657	quail's	7
658	tenons	6
659	misfortunes	11
660	lots	4
661	flagstones	10
662	making	6
663	runners	7
664	earphone's	10
665	Guiyang	7
666	richness's	10
667	supervenes	10
668	caste's	7
669	inquests	8
670	scratchiest	11
671	Thackeray	9
672	childbearing's	14
673	epaulet's	9
674	bowlegged	9
675	endeared	8
676	sexless	7
677	crofts	6
678	Mooney	6
679	angelic	7
680	restated	8
681	loosest	7
